codgr	libgr	sougr	libsougr	codal	libal	libgren	libsougren	codsougr
10	ultra-frais laitier	2	yaourts et assimilés	19601	yaourt nature au lait entier	ultra fresh dairy	yoghurt	102
10	ultra-frais laitier	2	yaourts et assimilés	19602	yaourt brassé nature au lait entier type danone velouté nature	ultra fresh dairy	yoghurt	102
10	ultra-frais laitier	2	yaourts et assimilés	19605	yaourt nature au lait demi-écrémé	ultra fresh dairy	yoghurt	102
10	ultra-frais laitier	2	yaourts et assimilés	19606	yaourt nature 0% m.g. type taillefine nature 0% danone yoplait silhouette	ultra fresh dairy	yoghurt	102
10	ultra-frais laitier	2	yaourts et assimilés	19609	yaourt nature au lait demi-écrémé sucré	ultra fresh dairy	yoghurt	102
10	ultra-frais laitier	2	yaourts et assimilés	19611	yaourt aromatisé au lait entier sucré	ultra fresh dairy	yoghurt	102
10	ultra-frais laitier	2	yaourts et assimilés	19615	spécialité laitière type yaourt au bifidus aromatisé au lait entier sucrée type	ultra fresh dairy	yoghurt	102
10	ultra-frais laitier	2	yaourts et assimilés	19617	yaourt nature au lait entier sucré	ultra fresh dairy	yoghurt	102
10	ultra-frais laitier	2	yaourts et assimilés	19619	lait fermenté à boire au lait demi-écrémé nature type actimel	ultra fresh dairy	yoghurt	102
10	ultra-frais laitier	2	yaourts et assimilés	19621	yaourt aux céréales ou au muesli au lait entier	ultra fresh dairy	yoghurt	102
10	ultra-frais laitier	2	yaourts et assimilés	19624	yaourt ou spécialité laitière sans précision	ultra fresh dairy	yoghurt	102
10	ultra-frais laitier	2	yaourts et assimilés	19628	yaourt ou spécialité laitière aux fruits sans précision	ultra fresh dairy	yoghurt	102
10	ultra-frais laitier	2	yaourts et assimilés	19630	spécialité laitière au lait entier enrichie en crème au chocolat type stracciate	ultra fresh dairy	yoghurt	102
10	ultra-frais laitier	2	yaourts et assimilés	19640	yaourt aromatisé au lait demi-écrémé sucré	ultra fresh dairy	yoghurt	102
10	ultra-frais laitier	2	yaourts et assimilés	19670	spécialité laitière type yaourt 0% aromatisée sucrée type weight watcher	ultra fresh dairy	yoghurt	102
10	ultra-frais laitier	2	yaourts et assimilés	19700	yaourt aux fruits au lait entier sucré type danone recette crémeuse aux fruits o	ultra fresh dairy	yoghurt	102
10	ultra-frais laitier	2	yaourts et assimilés	19730	yaourt aux fruits au lait demi-écrémé sucré type panier de yoplait	ultra fresh dairy	yoghurt	102
10	ultra-frais laitier	2	yaourts et assimilés	19740	spécialité laitière type yaourt au lait entier au bifidus et aux fruits sucrée	ultra fresh dairy	yoghurt	102
